2026-06-16T00:04:16.9345732+05:30 ProgramId=1 HasT3=True Stations=[T1,T3]
2026-06-16T00:04:30.7057941+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:09:01.8041506+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:15:22.4351528+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:18:03.8319531+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:23:31.1145756+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:23:44.1445832+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:29:13.8238234+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:36:38.4446527+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:39:44.8371954+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:43:51.0949663+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:46:32.2164116+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:48:39.2901110+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:54:08.9513181+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
2026-06-16T00:58:23.2301439+05:30 ProgramId=1 HasT3=False Stations=[T1,T2]
